ID,LACT,Time_Born,AdjTime,N_CALVES,CSEX,NUM_DEAD,AGEFDAT,CINT,GEST,PDIM,DDRY,PDOPN,PREFR,PTOTF,PTOTM,PTOTS,EASE,Time,Raw_Activity_Data,Activity_Change,Activity_Change_by_2_Hours,Rumination_Raw_Data,Weighted_Rumination_Change,Rumination_Deviation_by_2_Hours,Total_Rumination_Minutes_In_Last,Daily_Rumination,Weekly_Rumination_Average,Group,new_health_index,Daily_activity,parity,Day,Period,CalvingYN,newvar,period_to_calving
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,20:00,48,-3,-3.88,7,-10,-15.14,414,396,414,,,532,2,0,0,1,0,0
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,18:00,45,2,-4.36,14,-2,-10.78,433,396,414,,,532,2,0,1,0,1,-1
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,16:00,35,3,-0.72,22,-7,-1.7,469,396,414,,,532,2,0,2,0,2,-2
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,14:00,46,3,1.72,37,-11,1.42,477,396,414,,,532,2,0,3,0,3,-3
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,12:00,46,4,4.36,41,0,-6.14,482,396,414,,,532,2,0,4,0,4,-4
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,10:00,52,8,9.24,32,-1,-4.67,506,396,414,,,532,2,0,5,0,5,-5
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,8:00,40,13,-12.08,41,-2,2.61,474,396,414,,,532,2,0,6,0,6,-6
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,6:00,42,10,4.55,57,-3,7.23,433,396,414,,,532,2,0,7,0,7,-7
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,4:00,36,11,4.93,43,2,-14.7,376,396,414,,,532,2,0,8,0,8,-8
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,2:00,44,5,11.17,42,6,-3.62,333,396,414,,,532,2,0,9,0,9,-9
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,0:00,61,4,9.82,58,4,6.84,291,396,414,,,532,2,0,10,0,10,-10
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,22:00,61,3,4.2,20,9,-4.56,233,233,445,15,100,289,2,-1,11,0,11,-11
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,20:00,57,0,-0.35,26,,0.97,213,233,445,15,100,289,2,-1,12,0,12,-12
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,18:00,41,0,-5.97,50,,6.88,187,233,445,15,100,289,2,-1,13,0,13,-13
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,16:00,42,,3.94,30,,0.41,137,233,445,15,,289,2,-1,14,0,14,-14
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,14:00,54,,9.93,42,,4.99,107,233,445,15,,289,2,-1,15,0,15,-15
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,12:00,,,,65,,,,233,,15,,289,2,-1,16,0,16,-16
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,10:00,,,,,,,,233,,15,,289,2,-1,17,0,17,-17
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,8:00,,,,,,,,233,,15,,289,2,-1,18,0,18,-18
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,6:00,,,,,,,,233,,15,,289,2,-1,19,0,19,-19
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,4:00,,,,,,,,233,,15,97,289,2,-1,20,0,20,-20
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,2:00,,,,,,,,233,,15,97,289,2,-1,21,0,21,-21
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,0:00,,,,,,,141,233,445,15,97,289,2,-1,22,0,22,-22
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,22:00,,,,,,,189,189,477,15,97,146,2,-2,23,0,23,-23
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,20:00,,,,,,,199,189,477,15,97,146,2,-2,24,0,24,-24
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,18:00,,,,,,,219,189,477,15,97,146,2,-2,25,0,25,-25
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,16:00,,,,,,,262,189,477,15,97,146,2,-2,26,0,26,-26
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,14:00,,,,,,,278,189,477,15,96.8,146,2,-2,27,0,27,-27
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,12:00,,,,,,,316,189,477,15,96.6,146,2,-2,28,0,28,-28
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,10:00,,,,,-5,,352,189,477,15,97.6,146,2,-2,29,0,29,-29
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,8:00,,,,,-12,,421,189,477,15,97,146,2,-2,30,0,30,-30
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,6:00,43,-3,4.43,37,-9,-3.19,471,189,477,15,97,146,2,-2,31,0,31,-31
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,4:00,26,-1,-5.17,55,-8,-7.2,470,189,477,15,97,146,2,-2,32,0,32,-32
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,2:00,30,0,-3,49,-3,0.42,488,189,477,15,97,146,2,-2,33,0,33,-33
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,0:00,47,0,4.3,48,-12,3.05,490,189,477,15,97,146,2,-2,34,0,34,-34
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,22:00,31,-1,-4.46,10,0,-11.12,487,487,476,15,97,468,2,-3,35,0,35,-35
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,20:00,64,0,2.87,20,7,-2.78,532,487,476,15,97,468,2,-3,36,0,36,-36
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,18:00,48,-1,-1.76,43,5,3.67,544,487,476,15,97,468,2,-3,37,0,37,-37
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,16:00,39,-4,0.86,16,9,-3.46,520,487,476,15,97,468,2,-3,38,0,38,-38
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,14:00,37,-5,-0.94,38,4,3.99,570,487,476,15,97,468,2,-3,39,0,39,-39
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,12:00,37,-12,-2.42,36,15,-5.4,572,487,476,15,95.5,468,2,-3,40,0,40,-40
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,10:00,42,-15,-0.82,69,13,13.01,580,487,476,15,95.5,468,2,-3,41,0,41,-41
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,8:00,44,-7,-9.52,50,10,6.43,540,487,476,15,97.3,468,2,-3,42,0,42,-42
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,6:00,25,-9,-7.4,36,9,-3.82,527,487,476,15,97.3,468,2,-3,43,0,43,-43
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,4:00,29,-7,-2.77,73,14,9.42,522,487,476,15,100,468,2,-3,44,0,44,-44
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,2:00,32,-3,-2.49,51,17,0.76,514,487,476,15,100,468,2,-3,45,0,45,-45
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,0:00,40,-2,1.73,45,7,3.02,525,487,476,15,100,468,2,-3,46,0,46,-46
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,22:00,30,-2,-5.63,55,3,5.95,520,520,475,15,100,486,2,-4,47,0,47,-47
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,20:00,41,0,-9.22,32,3,4.7,495,520,475,15,100,486,2,-4,48,0,48,-48
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,18:00,57,6,3.02,19,6,-10.38,494,520,475,15,100,486,2,-4,49,0,49,-49
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,16:00,47,7,5.27,66,-4,17.75,508,520,475,15,100,486,2,-4,50,0,50,-50
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,14:00,39,0,1.31,40,-3,6.68,483,520,475,15,100,486,2,-4,51,0,51,-51
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,12:00,39,-4,-0.17,44,2,-4.5,485,520,475,15,100,486,2,-4,52,0,52,-52
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,10:00,49,-3,4.91,29,1,-5.73,497,520,475,15,100,486,2,-4,53,0,53,-53
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,8:00,45,0,-6.79,37,1,3.45,512,520,475,15,100,486,2,-4,54,0,54,-54
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,6:00,26,10,-7.54,31,4,-8.57,498,520,475,15,100,486,2,-4,55,0,55,-55
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,4:00,27,9,-5.5,65,6,0.52,510,520,475,15,100,486,2,-4,56,0,56,-56
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,2:00,40,10,3.59,62,6,3.43,501,520,475,15,100,486,2,-4,57,0,57,-57
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,0:00,46,7,5.07,40,2,2.17,504,520,475,15,100,486,2,-4,58,0,58,-58
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,22:00,71,8,10.12,30,6,-4.78,508,508,474,15,98.4,553,2,-5,59,0,59,-59
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,20:00,55,9,-1.43,31,4,5.35,509,508,474,15,98.4,553,2,-5,60,0,60,-60
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,18:00,65,13,8.61,33,4,-4.65,500,508,474,15,98.4,553,2,-5,61,0,61,-61
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,16:00,29,12,-5.91,41,0,3.65,496,508,474,15,98.4,553,2,-5,62,0,62,-62
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,14:00,51,7,11.05,42,0,11.74,487,508,474,15,98.4,553,2,-5,63,0,63,-63
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,12:00,56,10,20.73,56,3,-1.19,457,508,474,15,98.4,553,2,-5,64,0,64,-64
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,10:00,37,0,-3.03,44,1,0.98,461,508,474,15,100,553,2,-5,65,0,65,-65
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,8:00,54,2,5.53,23,0,-0.28,456,508,474,15,100,553,2,-5,66,0,66,-66
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,6:00,47,12,9.68,43,0,-2.57,498,508,474,15,100,553,2,-5,67,0,67,-67
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,4:00,25,14,-9.79,56,1,-7.46,494,508,474,15,100,553,2,-5,68,0,68,-68
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,2:00,29,28,-3.63,65,-6,4.27,511,508,474,15,100,553,2,-5,69,0,69,-69
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,0:00,34,30,0.13,44,-8,4.51,498,508,474,15,100,553,2,-5,70,0,70,-70
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,22:00,71,27,21.04,31,-8,-5.59,493,493,480,15,100,564,2,-6,71,0,71,-71
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,20:00,81,14,21.84,22,4,0.6,483,493,480,15,100,564,2,-6,72,0,72,-72
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,18:00,71,12,35.62,29,2,-6.33,499,493,480,15,100,564,2,-6,73,0,73,-73
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,16:00,36,6,-2.53,32,7,0.95,520,493,480,15,100,564,2,-6,74,0,74,-74
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,14:00,41,6,6.45,12,7,-14.65,498,493,480,15,100,564,2,-6,75,0,75,-75
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,12:00,38,3,0.69,60,9,0.51,514,493,480,15,100,564,2,-6,76,0,76,-76
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,10:00,47,0,4.38,39,8,-2.51,535,493,480,15,100,564,2,-6,77,0,77,-77
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,8:00,47,0,-0.73,65,0,30.8,535,493,480,15,100,564,2,-6,78,0,78,-78
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,6:00,38,2,3.12,39,11,-6.1,490,493,480,15,100,564,2,-6,79,0,79,-79
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,4:00,31,-1,-0.86,73,-4,8.15,504,493,480,15,100,564,2,-6,80,0,80,-80
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,2:00,26,1,-5.8,52,-4,0.94,497,493,480,15,97.2,564,2,-6,81,0,81,-81
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,0:00,37,3,2.04,39,0,2.27,466,493,480,15,97.2,564,2,-6,82,0,82,-82
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,22:00,42,5,4.23,21,5,-11.57,474,474,482,15,97.2,507,2,-7,83,0,83,-83
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,20:00,45,1,-6.28,38,-1,5.28,513,474,482,15,97.2,507,2,-7,84,0,84,-84
11991,2,19:20,20:00,1,M,0,1049,370,281,311,59,89,32,854,23110,707,2,18:00,50,12,13.75,50,-3,4.25,494,474,482,15,95.2,507,2,-7,85,0,85,-85
