Raw_Activity_Data,Rumination_Raw_Data,Weekly_Rumination_Average,Daily_activity,period_to_calving
61,0,406,587,0
80,0,406,587,-1
45,44,406,587,-2
36,6,406,587,-3
30,75,406,587,-4
52,38,406,587,-5
48,43,406,587,-6
47,34,406,587,-7
43,52,398,465,-8
37,49,398,465,-9
32,14,398,465,-10
41,39,398,465,-11
61,22,398,465,-12
34,24,398,465,-13
29,45,398,465,-14
30,23,398,465,-15
46,37,398,465,-16
34,49,398,465,-17
43,57,398,465,-18
35,48,398,465,-19
34,14,405,475,-20
44,30,405,475,-21
29,26,405,475,-22
32,36,405,475,-23
38,19,405,475,-24
26,35,405,475,-25
57,53,405,475,-26
50,24,405,475,-27
46,38,405,475,-28
30,54,405,475,-29
43,32,405,475,-30
46,30,405,475,-31
40,60,407,467,-32
37,7,407,467,-33
28,34,407,467,-34
31,38,407,467,-35
52,34,407,467,-36
31,29,407,467,-37
25,28,407,467,-38
40,15,407,467,-39
30,36,407,467,-40
32,49,407,467,-41
47,34,407,467,-42
74,25,407,467,-43
30,45,401,525,-44
53,11,401,525,-45
53,14,401,525,-46
41,52,401,525,-47
71,13,401,525,-48
35,31,401,525,-49
50,40,401,525,-50
47,7,401,525,-51
33,53,401,525,-52
33,43,401,525,-53
42,28,401,525,-54
37,41,401,525,-55
33,33,400,412,-56
52,26,400,412,-57
32,40,400,412,-58
40,33,400,412,-59
24,33,400,412,-60
28,50,400,412,-61
30,15,400,412,-62
46,44,400,412,-63
38,22,400,412,-64
29,47,400,412,-65
29,18,400,412,-66
31,65,400,412,-67
54,37,393,434,-68
46,12,393,434,-69
27,39,393,434,-70
41,32,393,434,-71
43,39,393,434,-72
38,28,393,434,-73
34,23,393,434,-74
36,35,393,434,-75
31,30,393,434,-76
28,39,393,434,-77
30,51,393,434,-78
26,42,393,434,-79
42,22,395,408,-80
46,36,395,408,-81
22,12,395,408,-82
30,24,395,408,-83
27,30,395,408,-84
41,28,395,408,-85
36,37,395,408,-86
30,43,395,408,-87
22,20,395,408,-88
51,50,395,408,-89
32,49,395,408,-90
29,46,395,408,-91
37,53,392,463,-92
41,26,392,463,-93
41,35,392,463,-94
46,8,392,463,-95
29,41,392,463,-96
47,40,392,463,-97
32,54,392,463,-98
36,12,392,463,-99
40,41,392,463,-100
34,43,392,463,-101
42,35,392,463,-102
38,14,392,463,-103
27,60,389,428,-104
38,13,389,428,-105
26,40,389,428,-106
31,46,389,428,-107
45,26,389,428,-108
56,35,389,428,-109
44,24,389,428,-110
35,45,389,428,-111
30,33,389,428,-112
28,37,389,428,-113
39,42,389,428,-114
29,35,389,428,-115
33,26,386,438,-116
51,25,386,438,-117
33,22,386,438,-118
44,54,386,438,-119
40,27,386,438,-120
