ID,LACT,Time_Born,AdjTime,N_CALVES,CSEX,NUM_DEAD,AGEFDAT,CINT,GEST,PDIM,DDRY,PDOPN,PREFR,PTOTF,PTOTM,PTOTS,EASE,Time,Raw_Activity_Data,Activity_Change,Activity_Change_by_2_Hours,Rumination_Raw_Data,Weighted_Rumination_Change,Rumination_Deviation_by_2_Hours,Total_Rumination_Minutes_In_Last,Daily_Rumination,Weekly_Rumination_Average,Group,new_health_index,Daily_activity,parity,Day,Period,CalvingYN,newvar,period_to_calving
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,16:00,67,6,23.13,8,-11,-8.03,334,254,446,,,563,2,0,0,1,0,0
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,14:00,43,2,16.91,23,-19,-2.79,361,254,446,,,563,2,0,1,0,1,-1
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,12:00,34,1,-4.8,23,-18,-8.04,380,254,446,,,563,2,0,2,0,2,-2
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,10:00,35,5,-5.25,20,-22,-4.74,398,254,446,,,563,2,0,3,0,3,-3
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,8:00,40,7,0,40,-19,5.77,408,254,446,,,563,2,0,4,0,4,-4
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,6:00,44,14,12.15,31,-15,-5.28,393,254,446,,,563,2,0,5,0,5,-5
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,4:00,38,9,2.92,37,-11,-3.21,386,254,446,,,563,2,0,6,0,6,-6
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,2:00,51,12,13.34,30,0,-10.04,418,254,446,,,563,2,0,7,0,7,-7
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,0:00,32,7,-13.44,19,4,-7.15,422,254,446,,,563,2,0,8,0,8,-8
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,22:00,54,8,11.32,30,4,-3.62,458,458,447,15,100,509,2,-1,9,0,9,-9
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,20:00,46,5,5.57,52,0,4.82,461,458,447,15,100,509,2,-1,10,0,10,-10
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,18:00,54,8,13.07,21,-3,-5.6,455,458,447,15,100,509,2,-1,11,0,11,-11
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,16:00,41,5,-1.18,35,1,4.87,473,458,447,15,100,509,2,-1,12,0,12,-12
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,14:00,29,5,-1.04,42,-4,4.74,458,458,447,15,100,509,2,-1,13,0,13,-13
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,12:00,37,6,-0.87,41,0,-1.17,462,458,447,15,100,509,2,-1,14,0,14,-14
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,10:00,57,7,11.3,30,0,-1.13,474,458,447,15,100,509,2,-1,15,0,15,-15
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,8:00,46,2,4.45,25,4,-5.77,459,458,447,15,100,509,2,-1,16,0,16,-16
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,6:00,32,1,-0.14,24,10,-14.03,476,458,447,15,100,509,2,-1,17,0,17,-17
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,4:00,32,1,-1.71,69,0,9.19,494,458,447,15,99,509,2,-1,18,0,18,-18
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,2:00,44,2,7,34,6,-9.32,467,458,447,15,98.2,509,2,-1,19,0,19,-19
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,0:00,37,0,-5.52,55,8,10.45,493,458,447,15,98.2,509,2,-1,20,0,20,-20
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,22:00,40,0,2.41,33,2,-2.6,460,460,445,15,97.4,450,2,-2,21,0,21,-21
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,20:00,39,1,0.84,46,3,2.6,460,460,445,15,97.4,450,2,-2,22,0,22,-22
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,18:00,38,0,-1.54,39,2,1.21,467,460,445,15,97.4,450,2,-2,23,0,23,-23
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,16:00,40,1,-1.46,20,2,-2.26,467,460,445,15,97.4,450,2,-2,24,0,24,-24
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,14:00,30,3,-1.5,46,2,7.5,469,460,445,15,97.4,450,2,-2,25,0,25,-25
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,12:00,43,3,5.44,53,-4,3.97,444,460,445,15,97.4,450,2,-2,26,0,26,-26
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,10:00,38,1,-0.16,15,0,-9.26,441,460,445,15,98.2,450,2,-2,27,0,27,-27
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,8:00,43,0,3.35,42,-1,9.55,470,460,445,15,98.2,450,2,-2,28,0,28,-28
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,6:00,38,-5,7.93,42,1,-1.96,469,460,445,15,96.1,450,2,-2,29,0,29,-29
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,4:00,32,-9,-1.32,42,2,-0.68,468,460,445,15,95.3,450,2,-2,30,0,30,-30
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,2:00,33,-7,-3.54,60,-3,13.43,457,460,445,15,98,450,2,-2,31,0,31,-31
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,0:00,36,-5,-8.37,22,2,-7.58,439,460,445,15,98,450,2,-2,32,0,32,-32
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,22:00,28,-3,-7.1,33,4,-3.19,467,467,451,15,98,452,2,-3,33,0,33,-33
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,20:00,32,1,-4.47,53,4,6.21,471,467,451,15,98,452,2,-3,34,0,34,-34
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,18:00,39,5,-1.02,39,3,1.5,455,467,451,15,98,452,2,-3,35,0,35,-35
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,16:00,40,4,-0.1,22,0,-2.5,436,467,451,15,98,452,2,-3,36,0,36,-36
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,14:00,31,5,-0.6,21,1,-4.06,441,467,451,15,97.8,452,2,-3,37,0,37,-37
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,12:00,49,4,29.28,50,0,4.04,445,467,451,15,97.8,452,2,-3,38,0,38,-38
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,10:00,46,3,5.82,44,-2,2.02,423,467,451,15,97.4,452,2,-3,39,0,39,-39
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,8:00,40,0,2.27,41,-6,14.49,412,467,451,15,97.4,452,2,-3,40,0,40,-40
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,6:00,33,5,2.39,41,-10,-2.74,396,467,451,15,97.4,452,2,-3,41,0,41,-41
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,4:00,34,11,0,31,-3,-5.88,400,467,451,15,97.4,452,2,-3,42,0,42,-42
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,2:00,40,14,3.35,42,-3,-1.71,405,467,451,15,97.4,452,2,-3,43,0,43,-43
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,0:00,40,18,-0.57,50,-7,5.74,417,467,451,15,97.4,452,2,-3,44,0,44,-44
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,22:00,50,18,13.78,37,-8,-1.55,391,391,454,15,97.4,538,2,-4,45,0,45,-45
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,20:00,49,16,12.96,37,-9,-1.54,389,391,454,15,97.4,538,2,-4,46,0,46,-46
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,18:00,51,17,16.55,20,-5,-4.65,406,391,454,15,97.4,538,2,-4,47,0,47,-47
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,16:00,55,13,20.44,27,-11,0.14,407,391,454,15,97.4,538,2,-4,48,0,48,-48
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,14:00,37,13,4.68,25,-9,-1.5,419,391,454,15,97.4,538,2,-4,49,0,49,-49
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,12:00,34,8,-3.2,28,-13,-2.78,407,391,454,15,97.4,538,2,-4,50,0,50,-50
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,10:00,54,12,12.89,33,-10,-2.08,416,391,454,15,97.4,538,2,-4,51,0,51,-51
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,8:00,55,14,24,25,-4,-6.46,418,391,454,15,97.4,538,2,-4,52,0,52,-52
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,6:00,34,4,4.55,45,-10,1.13,417,391,454,15,97.4,538,2,-4,53,0,53,-53
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,4:00,33,4,-0.65,36,0,-4.99,411,391,454,15,97.4,538,2,-4,54,0,54,-54
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,2:00,41,9,5.55,54,-5,3.92,409,391,454,15,97.4,538,2,-4,55,0,55,-55
11457,2,16:24,16:00,1,M,0,1235,557,276,435,122,281,25,1246,35330,1119,3,0:00,45,8,5.63,24,-2,-7.08,399,391,454,15,97.4,538,2,-4,56,0,56,-56
